id;nome;sigla;latitude;longitude
1;Applications Investor bandwidth;deploy Metal;67007;85100
2;Chips;Shoes;37761;32918
3;functionalities Sleek Soft Soap paradigms;gold teal;94586;36406
4;Sports;Pound Sterling Buckinghamshire;3859;43238
5;hacking;Mississippi Jewelery;66302;47903
6;Handcrafted Cotton Bike Designer;Passage syndicate Multi-channelled;44425;10182
7;withdrawal Frozen frame;Fish Refined Granite Mouse;46662;6302
8;transmitting Automated;Sleek Rubber Bike bypass proactive;8619;13568
9;withdrawal Handmade Metal Pizza Plain;New Caledonia back-end methodical;19175;31565
10;silver Applications;Credit Card Account deploy;87906;61876
